accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed
127	0.5287	0.5728	0.3561	0.8185	0.0813	0.7549	35.6250	0.1739	3.3928	172.0000	0.2382	724.0000	0.4502	443.0000	984.0000
128	0.5348	0.5794	0.3617	0.8137	0.0725	0.7615	35.2500	0.1555	3.3934	174.0000	0.2302	759.0000	0.4624	455.0000	984.0000
129	0.5789	0.5778	0.3578	0.8227	0.0797	0.7800	35.8750	0.1338	3.3458	164.0000	0.2216	744.0000	0.4614	454.0000	984.0000
130	0.4937	0.5783	0.3646	0.8086	0.0810	0.7687	35.5000	0.1650	3.2557	162.0000	0.2085	779.0000	0.4929	485.0000	984.0000
131	0.5051	0.5877	0.3618	0.8060	0.0793	0.7296	35.3750	0.1740	3.3389	185.0000	0.2390	777.0000	0.4888	481.0000	984.0000
132	0.5447	0.5717	0.3457	0.8033	0.0717	0.7614	35.3750	0.1485	3.3120	165.0000	0.2331	712.0000	0.4756	468.0000	984.0000
133	0.5309	0.5750	0.3534	0.7949	0.0819	0.7527	35.7500	0.1725	3.2180	183.0000	0.2325	789.0000	0.4848	477.0000	984.0000
134	0.5440	0.5800	0.3618	0.7995	0.0819	0.7588	35.5000	0.1621	3.2542	175.0000	0.2232	787.0000	0.4837	476.0000	984.0000
135	0.5148	0.5789	0.3572	0.8076	0.0801	0.7717	35.2500	0.1309	3.1818	163.0000	0.2092	782.0000	0.5030	495.0000	984.0000
136	0.5099	0.5838	0.3632	0.8122	0.0700	0.7576	36.2500	0.1628	3.3716	175.0000	0.2368	742.0000	0.4868	479.0000	984.0000
137	0.5339	0.5811	0.3611	0.7862	0.0813	0.7478	35.8750	0.1502	3.3013	180.0000	0.2281	792.0000	0.4858	478.0000	984.0000
138	0.4796	0.5800	0.3602	0.7943	0.0800	0.7444	36.0000	0.1694	3.2654	181.0000	0.2274	799.0000	0.4939	486.0000	984.0000
139	0.5076	0.5739	0.3555	0.7917	0.0743	0.7518	35.8750	0.1537	3.2353	172.0000	0.2257	768.0000	0.4837	476.0000	984.0000
140	0.4951	0.5761	0.3455	0.8253	0.0869	0.7484	35.5000	0.1651	3.2963	166.0000	0.2173	769.0000	0.4665	459.0000	984.0000
141	0.5215	0.5827	0.3682	0.8000	0.0858	0.7547	35.8750	0.1514	3.3448	174.0000	0.2351	743.0000	0.4746	467.0000	984.0000
142	0.5205	0.5833	0.3638	0.8090	0.0789	0.7550	35.6250	0.1601	3.3915	177.0000	0.2290	777.0000	0.4776	470.0000	984.0000
143	0.5150	0.5728	0.3587	0.8155	0.0755	0.7547	35.7500	0.1701	3.3362	168.0000	0.2298	737.0000	0.4807	473.0000	984.0000
144	0.5159	0.5739	0.3540	0.8055	0.0882	0.7575	35.6250	0.1524	3.2352	179.0000	0.2368	759.0000	0.4451	438.0000	984.0000
145	0.5169	0.5893	0.3661	0.8186	0.0857	0.7789	35.6250	0.1580	3.5114	165.0000	0.2276	727.0000	0.4472	440.0000	984.0000
146	0.4984	0.5893	0.3590	0.8029	0.0750	0.7527	35.2500	0.1591	3.4307	176.0000	0.2304	768.0000	0.4695	462.0000	984.0000
147	0.5509	0.5778	0.3680	0.7961	0.0747	0.7509	35.5000	0.1656	3.1928	178.0000	0.2270	787.0000	0.5112	503.0000	984.0000
148	0.5063	0.5778	0.3469	0.7992	0.0746	0.7500	35.3750	0.1638	3.2406	170.0000	0.2240	761.0000	0.4604	453.0000	984.0000
149	0.5312	0.5789	0.3565	0.8153	0.0796	0.7853	35.5000	0.1275	3.3027	164.0000	0.2181	754.0000	0.4868	479.0000	984.0000
150	0.5704	0.5783	0.3589	0.8069	0.0833	0.7817	35.2500	0.1364	3.3067	171.0000	0.2190	784.0000	0.4837	476.0000	984.0000
151	0.5204	0.5717	0.3557	0.7987	0.0758	0.7454	35.1250	0.1733	3.3427	175.0000	0.2427	724.0000	0.4360	429.0000	984.0000
152	0.4925	0.5745	0.3500	0.7919	0.0756	0.7586	35.0000	0.1480	3.1812	174.0000	0.2272	768.0000	0.4654	458.0000	984.0000
153	0.5192	0.5767	0.3505	0.7934	0.0761	0.7377	35.1250	0.1586	3.3793	175.0000	0.2420	728.0000	0.4715	464.0000	984.0000
154	0.5269	0.5899	0.3608	0.7763	0.0811	0.7475	35.8750	0.1549	3.3521	176.0000	0.2262	780.0000	0.4705	463.0000	984.0000
155	0.5630	0.5706	0.3496	0.8240	0.0813	0.7589	35.2500	0.1498	3.4382	177.0000	0.2482	715.0000	0.4360	429.0000	984.0000
156	0.5394	0.5827	0.3660	0.7883	0.0852	0.7678	34.8750	0.1326	3.2600	175.0000	0.2249	783.0000	0.4848	477.0000	984.0000
157	0.4958	0.5717	0.3688	0.7938	0.0827	0.7456	36.1250	0.1767	3.1153	182.0000	0.2382	766.0000	0.5112	503.0000	984.0000
158	0.5181	0.5739	0.3560	0.8114	0.0819	0.7690	35.3750	0.1502	3.4384	172.0000	0.2399	721.0000	0.4451	438.0000	984.0000
159	0.5584	0.5805	0.3583	0.7788	0.0762	0.7610	35.6250	0.1333	3.2096	174.0000	0.2275	768.0000	0.4654	458.0000	984.0000
160	0.5354	0.5783	0.3628	0.8056	0.0807	0.7634	35.5000	0.1389	3.2839	172.0000	0.2225	777.0000	0.4797	472.0000	984.0000
161	0.5064	0.5855	0.3629	0.8029	0.0801	0.7546	35.5000	0.1769	3.2947	174.0000	0.2239	780.0000	0.5000	492.0000	984.0000
162	0.5265	0.5822	0.3585	0.8152	0.0772	0.7636	35.8750	0.1462	3.4070	169.0000	0.2354	720.0000	0.4644	457.0000	984.0000
