accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
159	0.4011	0.4654	0.3458	0.8613	0.0083	0.6461	36.1053	0.3046	659.0000	175.0000	0.2656	676.0000
160	0.3950	0.4702	0.3558	0.8340	0.0091	0.6194	36.0526	0.3547	679.0000	195.0000	0.2872	693.0000
161	0.3772	0.4675	0.3448	0.8567	0.0086	0.6333	36.4737	0.3266	664.0000	181.0000	0.2726	675.0000
162	0.3872	0.4728	0.3537	0.8454	0.0091	0.6282	36.0526	0.3277	719.0000	189.0000	0.2629	737.0000
163	0.4033	0.4714	0.3581	0.8381	0.0093	0.6223	36.0526	0.3303	669.0000	196.0000	0.2930	682.0000
164	0.4024	0.4702	0.3539	0.8465	0.0092	0.6462	36.2105	0.3145	712.0000	183.0000	0.2570	729.0000
165	0.3818	0.4684	0.3473	0.8510	0.0092	0.6218	36.1579	0.3378	664.0000	189.0000	0.2846	678.0000
166	0.3821	0.4677	0.3490	0.8379	0.0090	0.6228	36.1579	0.3445	681.0000	201.0000	0.2952	705.0000
167	0.3920	0.4637	0.3428	0.8385	0.0087	0.6261	35.8947	0.3245	658.0000	183.0000	0.2781	677.0000
168	0.3736	0.4630	0.3533	0.8490	0.0087	0.6235	36.2105	0.3361	696.0000	186.0000	0.2672	710.0000
169	0.3768	0.4691	0.3564	0.8369	0.0091	0.6237	36.2105	0.3298	683.0000	195.0000	0.2855	702.0000
170	0.3921	0.4630	0.3437	0.8557	0.0084	0.6440	36.0526	0.3112	707.0000	188.0000	0.2659	719.0000
171	0.4174	0.4716	0.3529	0.8433	0.0094	0.6518	36.2105	0.2963	705.0000	181.0000	0.2567	718.0000
172	0.3928	0.4770	0.3699	0.8286	0.0090	0.6493	36.2105	0.3044	699.0000	193.0000	0.2761	718.0000
173	0.4016	0.4700	0.3617	0.8361	0.0088	0.6326	36.3684	0.3306	719.0000	193.0000	0.2684	728.0000
174	0.4140	0.4670	0.3424	0.8522	0.0092	0.6402	36.1053	0.3318	635.0000	171.0000	0.2693	653.0000
175	0.4076	0.4658	0.3507	0.8595	0.0086	0.6525	36.2105	0.3130	672.0000	178.0000	0.2649	688.0000
176	0.4333	0.4682	0.3564	0.8397	0.0087	0.6546	35.9474	0.3066	672.0000	181.0000	0.2693	684.0000
177	0.3913	0.4695	0.3535	0.8556	0.0090	0.6406	36.2632	0.3294	705.0000	187.0000	0.2652	721.0000
178	0.3530	0.4698	0.3579	0.8308	0.0089	0.6172	35.9474	0.3429	690.0000	197.0000	0.2855	702.0000
179	0.3979	0.4707	0.3429	0.8426	0.0091	0.6306	36.3158	0.3269	670.0000	188.0000	0.2806	684.0000
180	0.4173	0.4716	0.3534	0.8430	0.0094	0.6452	36.1053	0.3173	683.0000	175.0000	0.2562	700.0000
181	0.3720	0.4675	0.3576	0.8430	0.0085	0.6197	35.9474	0.3423	679.0000	188.0000	0.2769	695.0000
